nombre,titulo,review,estadia,rating,date_extract
Sebastián C,Irregular,"El hotel está bien ubicado. La habitación que nos tocó estaba cerca de la línea del mar y tenía muy buena vista. La gastronomía en general es regular, salvo algunas excepciones. El trato de los empleados es muy dispar. Algunos son muy amables y predispuestos y otros no muestran buena predisposición. Siempre conseguimos reposeras para ir a la playa, en la pileta es más complejo conseguir sentarse cerca de la pileta. De los 10 días, el mar estuvo limpio 7. El resto fue casi imposible bañarse por la cantidad de zargazo. Los shows que se brindan por la noche son buenos y quienes trabajan en el equipo de entretenimiento durante el día son muy bien dispuestos y hacen muy bien su trabajo. Lo peor del hotel sin dudas es el servicio de un lugar llamado creperie. Los empleados son mal",Fecha de la estadía: septiembre de 2022,30,07/09/2022
Ricardo Rodriguez,Membresia magica (Seadust - Infinity travel club),"Atencion a Clientes, simplemente excelso, deseo felicitar a las siguientes personas, Laura Garcia, Giselle, y muy en especial al Sr Gabriel Perez, responsable del area, hace un par de semanas, me apoyaron a realizar un viaje magico a celebrar el 50 aniversario del lugar mas feliz de la tierra(Disney World), nos hospedamos en uno de los resort de Disney, lo mas asombroso, es que a unos cuantos pasos, esta el acceso a EPCOT, no solo el haber estado en los parques tematicos, es vivir la experiencia completa de estar instalados como en tu hogar, y es literal, es un complejo (Disney Boardwalk Villas) para olvidarte de todo, es muy similar la experiencia, como cuando te encuentras en el resort Seadust, disfrutas al maximo tu estadia, en los parques y en las instalaciones del hotel,",Fecha de la estadía: agosto de 2022,50,07/09/2022
Alaysha W,Vacation 2022,"Overall the stay was okay. The hotel and its activity were average but the staff makes up for somethings that they lack. The food is alright as well, I recommend eating at the food gallery or El Maguey.",Fecha de la estadía: septiembre de 2022,30,07/09/2022
Shantae H,Vacation,"It started off bad honestly because we find bed bugs and my 20 year old did get bite up… but they did get me and my family out of that rooom into a clean room free of bed bugs… the food in most places was just ok… but the Mexican restaurant was great. The staff was very professional and accommodating but I also tripped generously. Gisselle the manager was great helped me out a lot. I did receive two free massages and $100 store credit. Gabriel for guest service was excellent, he went above and beyond to make sure I was comfortable.",Fecha de la estadía: septiembre de 2022,30,07/09/2022
Jordan B,My review on Seadust Family Resort,This was a beautiful place to be but the resort was not all of that it was ok I liked Big Ben and El Maguey they were the only good foods.I like the pool but the beach had a lot of seaweed I did not like that. Overall it was a 6.5/10,Fecha de la estadía: septiembre de 2022,30,07/09/2022
Miguel G,Nuestras vacaciones seadust,Excelente servicio el área de niños y la atención fue súper todos en el servicio de buffet y piscina muy atentos las áreas de niños bien controladas y con atención Gracias Paolo y Gabriel por recibir nuestros comentarios.,Fecha de la estadía: septiembre de 2022,50,07/09/2022
Alex V,Excelente atención,"Excelente atención de todo el personal, entre ellos Fanny del Manhattan La comida excelente y las instalaciones muy bien Él área de niños muy agradable y con actividades, aunque hubo mucha gente en nuestra visita no tuvimos problemas con los restaurantes, rápida atención",Fecha de la estadía: septiembre de 2022,50,07/09/2022
Gerardo G,Área de toboganes,"Muy divertido, mis hijos y sobrinos se divirtieron mucho, no queren dejar de jugar ahi!!! la atención en el área de arranque en los toboganes Excelente!!!, Gracias Dangely!! Seguiremos disfrutando el área",Fecha de la estadía: septiembre de 2022,50,07/09/2022
Javier Quiroga luna @gmail.com,Vacaciones entes de al escuela,"Estuvimos una semana de vacaciones al llegar nos recibió Rubén , quién nos dio la información. Y la atención excelente un 10 , dos días después nos cambiamos de cuarto por una cama king size y más espacio para eso nos ayudó Danny ambos del equipo de mayordomía , regresaremos en diciembre para que nos atiendan de igual excelente manera",Fecha de la estadía: septiembre de 2022,50,07/09/2022
Astrid B,Family trip in cancun,"We had an amazing time at the seadust hotel. There are multiple delicious restaurants, a private adult pool, access to the beach, and a private lounge. On top of all there was an incredible staff service. We had Paulo, Alex El Pollo, Gabriel were amazing staff that helped my grandmother reach the beach even with a walker, brought us unlimited drinks, and helped with any questions. I will definitely recommend to anyone.",Fecha de la estadía: septiembre de 2022,50,07/09/2022
